lot,title,artist,medium,signage,size,sale_date,auction_house,auction_name
"12","Untitled, Portrait of Two Women, 1990","Ian De Souza","Watercolour and chalk pastel on paper","signed and dated lower right","72 x 52 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"13","A Break in the Rain, Beverley W.A,' 1993","Barbara Sabin","Gouache on paper","artwork label on verso","36 x 53 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"14","Berkeley Square, London, 1975","Elizabeth Blair Barber","Watercolour and graphite on paper","signed  dated  titled lower left  artwork label on verso","37 x 44 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"15","Hines Hill" 1969","Robert Litchfield (Bob) Juniper","Colour etching and aquatint on paper","numbered 19/100  signed and dated lower right","13.5 x 17.2 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"16","Untitled- Cottesloe Beach Scene.'","Artist Unknown","Oil pastel on paper","","67 x 122 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"17","Still Life with Artichoke, 1991","Janet Green","Oil on board","titled on verso","17 x 17 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"18","Landscape","John Richard Cartwright","Oil and acrylic on board","signed lower right","20 x 21 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"19","Valley Sky, 1974","Robert J. Wilson","Oil on board","signed and dated lower left","44 x 54 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"20","Mangroves and Birds","Brian Simmonds","Oil on canvas on board","signed lower left","33.5 x 24 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"21","Rhodadendrons","Gillian Murray","Watercolour on silk","signed lower right","67 x 45 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"22","Taking a Break,' 1990","Jenny Sanderson","Chalk pastel on paper","signed and dated lower right","67 x 97 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"23","The Run Up","Kym Hart","Acrylic on canvas","signed lower left  artwork label on verso","59 x 90 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"24","Houses Near the Inlet, 1985","Michael Cartwright","Oil on board","signed and dated '85 lower right  artwork label on verso","44 x 59 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"25","Blonde, 2004","Mike Green","Watercolour on paper","signed and dated lower right","100 x 132 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"26","Untitled- Man with Cello","William Allan Baker","Charcoal and acrylic on paper","","57 x 37 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"27","Little Red Cottage","John Richard Cartwright","Oil on board","signed lower right","120 x 19 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"28","Mother and Child","Brian James Dunlop","Watercolour on paper","signed lower left  artwork label on verso","28 x 41 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"29","Untitled- Still Life with Flowers, 1994","David Gregson","Gouache on paper","signed and dated lower right","31 x 26 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"30","Diminishing Jungle","Leon Pericles","Mixed media","watercolour and offset printing  signed lower right  numbered  63/65","55 x 83 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"31","Window, 1991","Li Zigang","Oil on canvas","signed and dated lower left","97 x 82 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"32","Untitled- Beach Scene.","Murray Gill","Watercolour on paper","signed lower right","27 x 37 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"33","(I) 'Sparkles; (II) 'Quiet Place' (III) 'Green Beret' (3)","Regina Noakes","Acrylic on canvas","titled & signed on verso; acrylic on canvas (2)  signed right; Artwork label on verso; titled & signed on verso","20 x 20 cm; 31 x 25 cm; 20 x 20 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"34","The Pearl Fishers", 1983","Robert Litchfield (Bob) Juniper","Colour etching and aquatint","signed and dated lower right corner  numbered AP 6 lower right","30 x 29.5 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"35","File Snake Dreaming- The Kakadu Series","Thomas (Tom) Gleghorn","Watercolour and acrylic on paper","signed lower right","74 x 54 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"36","Water Path Dreaming- Yellow Waters","Thomas (Tom) Gleghorn","Watercolour and acrylic on paper","signed and titled lower right","74 x 55 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"37","Passage Through Life, 1996","David Gregson","Acrylic on canvas","signed and dated lower left","68 x 88 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"38","The Complete Works of Aldous Huxley,' 1993","Jane Martin","Oil on canvas","signed and dated lower right  titled on verso","45 x 35 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"39","Untitled,' 1989","Jeremy Kirwan-Ward","Acrylic and pastel on paper","signed and dated on verso","55 x 40 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"40","Siesta, 1999","Robert Litchfield (Bob) Juniper","Screen print on paper","signed and dated lower right  numbered 48/80 lower left","58 x 65 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"41","Near York","Diana Johnston","Acrylic on canvas","signed lower right","90 x 105 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"42","On the Verandah,' 1998","George Haynes","Charcoal on paper","signed and dated lower right","57 x 75 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"43","Poppies","Heather Jones","Watercolour and collage on paper","artwork label on verso","49 x 55 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"44","Late Evening in Port.'","Matthew Perceval","Oil on board","signed lower left  titled verso","24 x 33 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"45","Untitled","Nigel Hewitt","Conti and wax on paper","signed lower right","56 x 37 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"46","Macau Walk", 2007","Robert Litchfield (Bob) Juniper","Oil and synthetic polymer paint on canvas","signed and dated lower left","14 x 19 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"47","Current, 2015","Alia Ledabrand","Oil on canvas","artwork label on verso","80 x 107 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"48","Sleeping Boy","Donald Stuart Leslie Friend","Ink and watercolour on paper","signed 'Donald Friend Bali' lower right","45 x 60 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"49","Portrait of an Old Woman in Red Hat (Tram Traveller)","Harald Hansen Gallis Vike","Oil on board","signed lower right corner  artwork label on verso","30 x 23 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"50","Monkey II","John Henry Olsen","Giclee print on paper","signed lower right  edition number 10/50 lower left","77 x 57 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"51","Swamp Birds","Kevin Charles (Pro) Hart","Acrylic on board","signed lower left  artwork label on verso","19 x 19 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"52","Untitled- Still life with Flowers, 1945","Rhoda Elise Heathcote","Oil on canvas","signed and dated lower right","63 x 51 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"53","Golden Summer","Tessa Perceval","Oil on canvas","signed lower left","86 x 90 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"54","Untitled- Grape Pickers","Murray Gill","Acrylic on canvas board","signed lower right","46 x 61 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"55","Red Poles","Jeremy Kirwan-Ward","Acrylic on canvas","","110 x 122 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"56","Northwest Oasis, 1984","William Boissevain","Oil on board","signed and dated lower right  labelled on verso","90 x 120 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"57","Modest","Esther Erlich","Acrylic on canvas","signed lower right","180 x 122 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"58","Untitled - Still Life with Sailing Boats", 1963","Adrian George Feint","Oil on board","signed and dated lower left","30 x 25 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"59","Figures in Psychoscape.'","James Timothy Gleeson","Oil on composition board","signed lower right","19 x 14 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"60","Francine","Robert Henry (Bob) Dickerson","Charcoal on paper","signed lower right","74 x 55 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"61","Untitled- Hermannsberg Style Landscape.'","Claude Pannka","Watercolour on paper","","32 x 54 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"62","Untitled","Marlee Naparrula","Acrylic paint on canvas","inkuntji Women's Centre label on verso","41 x 76.5 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"63","Six South West Landscape (6)","Wendy Feifar Nannup","Oil in ceramic tile","each signed lower left","15 x 15 cm each","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"64","Untitled- Triptych","Attributed Willie Gudipi","Acrylic on canvas","mounted on timber frame","45 x 109 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"65","Untitled- Landscape, 1986","Lance Chadd","Watercolour and gouache on paper","signed and dated lower right","27 x 34 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"66","Untitled","Daisy Loongkoonan","Acrylic on canvas","'LU 47  inscribed on verso","60 x 59 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"67","My Country","Willy Billabong","Acrylic on canvas","inscribed verso Y538/99","45 x 45 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"68","Untitled- Landscape.'","Claude Pannka","Watercolour on paper","signed lower right","34 x 52 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"69","Untitled- Landscape Scene.'","Attributed Shane Pickett","Watercolour and acrylic on paper","","42 x 81 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"70","Untitled- Landscape","Otto Pareroultja","Watercolour on paper","signed lower right","26 x 35 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"71","Untitled,","Ronnie Tjampitjinpa","Acrylic on canvas","inscribed on verso  'RT961241","63 x 91 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"72","Kurrajob eith","Owen Yalandja","Ochre pigment and stand","1","42 x 9 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"73","(1) "Campsite Dreaming I" c.2005; Campsite Dreaming II c.2005 (2)","Lindsay Bird Mpetyane","Synthetic polymer paint on canvas","both with Certificate of Authenticity dated 06/07/2024","33 x 40 cm each","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"74","The Cricket-Match, Australia v England, At Kennington Oval, 1882","Artist Unknown","Hand coloured etching","","35 x 50 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"75","Untitled- Ship in Harbour","Walter Holmes","Chalk pastel on paper","signed lower right","30 x 45 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"76","(1) 'The Oxford and Cambridge University Boat-Race on Saturday Last: Passing the Crab-Tree, 1866 (2) 'International Cricket Match on the Ground of Germantown Club, Pennsylvania.' 1886 (2)","Artist Unknown","Hand coloured copper plate etching; and coloured woodblock engraving","one signed lower right","21 x 34 cm; 24 x 33 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"77","Untitled","Marc Chagall","Lithograph with hand-colouring  signature on verso","","14 x 22 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"78","Untitled- Biblical Scene","Jacques Cannonici","Oil on canvas","","178 x 92 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"83","Untitled- Docked Ship with Figures.'","Walter Holmes","Chalk pastel on paper","","30 x 44 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"87","Untitled- Parisian City Scene","Jorge Aguilar-Agon","Acrylic on canvas","signed lower right","63 x 89 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"88","Devon Coast by Moonlight","Peter Cosslett","Oil on canvas on board","signed lower left","38.5 x 48.5 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"89","Untitled- Mexico Scene' 1981","Padraig Macmiadhachain","Oil pastel on paper","signed and dated lower right  verso signed by the artist and addressed to 'Anglelia  1983","18 x 26 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"90","Untitled- Landscape","James Bolivar Manson","Watercolour on paper","signed lower right","23 x 31 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"1","Magus 3","James Timothy Gleeson","Oil on board","signed lower right  titled verso","14.8 x 12.3 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"2","Not Heidleberg - Somewhere Else, 2006","Robert Litchfield (Bob) Juniper","Oil and synthetic polymer paint on cigar box lid","signed lower right  Nyaania Creek (Robert and Patricia Juniper) label on verso","14.7 x 23.7 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"3","Porongorups - Autumn Glow , 1937","Robert H. Johnson","Oil on canvas on board","signed and dated 1937  lower left  titled verso","45 x 55 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"4","Autumn Landscape 2","Helen Dorothy Grey-Smith","Mixed media on paper upon board","signed and dated '78' lower right corner","46 x 68 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"5","Landscape","Guy Edward Grey-Smith","Synthetic polymer paint & ink on paper","signed and dated 1973 lower right","40 x 59 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"6","Untitled - Farm Workers","Margaret Benoit","Oil on board","signed lower left","26.5 x 28.8 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"7","Untitled Nude","William Boissevain","Mixed Media on paper","signed lower right","67.4 x 52.2 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"8","Tree Frog","John Henry Olsen","Watercolour on paper","signed and dated lower right","58.5 x 38.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"9","The Old Bakery, York","David Gregson","Watercolour on paper","signed and dated 1987 lower right","40 x 60 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"10","Garden Island","Robert Richmond Campbell","Oil on board","seddon Galleries Melbourne label on verso","15 x 22.3 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"11","Untitled - Broome Races","Murray Gill","Synthetic polymer paint on canvas","signed lower left","74 x 97.3 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"12","Still Life Raft Suite 1","Marie Louise Hobbs","Synthetic polymer paint on board","","28 x 36 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"13","After Lunch","George Haynes","Synthetic polymer paint on canvas","skinner Galleries label verso with title","140 x 168 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"14","Country Cottage 2 Chidlow WA c1990","Eddie Falk","Watercolour and bodycolour on paper","signed lower right  titled verso","39 x 53 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"15","The Twilight Hour, with Heysen carved frame, 1906","Hans Heysen","Watercolour","signed and dated lower right","24.5 x 24.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"16","Beautiful Solace, 2012","Janey Emery","Synthetic polymer paint on canvas","with Certificate of Authenticity","90 x 60 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"17","Sand Dunes - Blues, 1976","Robert Litchfield (Bob) Juniper","Oil on board","signed and dated lower right","58 x 88 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"19","Time is on (Whose) Side","Norman Alfred William Lindsay","Mixed media on paper","signed lower right","54 x 39.3 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"20","Las Paloma's De Sevilla","Frank Pash","Mixed media on paper","signed and dated '77' lower right","71 x 50 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"21","Dish from Iznic, 1998","Elizabeth Ford","Oil and mixed media on canvas","signed and dated lower left","40.5 x 30.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"22","It's a Dogs Life","Janey Emery","Synthetic polymer paint on canvas","signed lower left  with certificate of authenticity","100 x 1200 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"23","Broome Cottage","Murray Gill","Mixed media","signed lower left","54.1 x 74.1 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"24","Untitled - Flowers in Landscape","Robert Litchfield (Bob) Juniper","Mixed Media on paper","signed and dated '1976' lower centre","35.2 x 25 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"25","Boomer, 1988","Robert Litchfield (Bob) Juniper","Colour etching and aquatint","numbered 52/60  signed and dated lower right","34.5 x 54.9 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"26","International Airport, 1968","Guy Edward Grey-Smith","Screenprint","signed  dated  & numbered 23/30 lower right","37 x 55.5 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"27","Carnival Fruit, 1992","Pippin Drysdale","Porcelain with gold lustre and coloured glazes","signed  titled and dated at base  38.5 cm diameter","height 6 cm","03-Dec-24","McKenzies Auctioneers","Art, Collectables & Furniture. (Art lots only), McKenzies Auctioneers, Perth"
